,OBJECTID,ARREST_DATE,TOP_CHARGE_DESC,HOME_PSA,CRIME_PSA,District
0,1,2011-01-01T00:00:00.000Z,Simple Asssault,102,102,1
1,2,2011-01-01T00:00:00.000Z,Simple Asssault,504,504,5
2,3,2011-01-01T00:00:00.000Z,Juvenile Custody Order - Court Charge,405,405,4
3,4,2011-01-02T00:00:00.000Z,UCSA Possession Marijuana,501,505,5
4,5,2011-01-02T00:00:00.000Z,Assault w/Intent to Rob While Armed,704,303,3
5,6,2011-01-02T00:00:00.000Z,Theft 1st Degree,404,705,7
6,7,2011-01-02T00:00:00.000Z,ADW -- Knife,602,601,6
7,8,2011-01-02T00:00:00.000Z,Threats to Bodily Harm,602,601,6
8,9,2011-01-02T00:00:00.000Z,Threats to Bodily Harm,602,601,6
9,10,2011-01-02T00:00:00.000Z,Threats (Felony),602,601,6
12,13,2011-01-03T00:00:00.000Z,Possession of Prohibited Weapon (A) (Blackjack Gun Knife),505,402,4
13,14,2011-01-03T00:00:00.000Z,Simple Asssault,304,304,3
14,15,2011-01-03T00:00:00.000Z,Destruction of Property (Misdemeanor),704,704,7
15,16,2011-01-03T00:00:00.000Z,No Permit,,603,6
16,17,2011-01-03T00:00:00.000Z,Possession of Prohibited Weapon (A) (Blackjack Gun Knife),,706,7
17,18,2011-01-03T00:00:00.000Z,Simple Asssault,204,604,6
18,19,2011-01-03T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),602,602,6
19,20,2011-01-03T00:00:00.000Z,Carrying Pistol w/out License 1st Offense,402,402,4
20,21,2011-01-03T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),706,706,7
23,24,2011-01-04T00:00:00.000Z,Juvenile Custody Order - Court Charge,604,102,1
24,25,2011-01-04T00:00:00.000Z,Absconder,607,607,6
25,26,2011-01-04T00:00:00.000Z,CSA PWID Marijuana,703,701,7
26,27,2011-01-04T00:00:00.000Z,ADW -- Knife,605,605,6
27,28,2011-01-04T00:00:00.000Z,Threats (Felony),103,704,7
